"Test","Batch","Maquina","Usuario","Total Pasos","Pasos Lentos","Tiempo Promedio Paso (min)","Estado","Error Type","Error Message"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","@{name=batch18; type=tag; displayName=batch18}","PORTFLEX25M","angela.perez.z","53","16","0,545","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: CESAR; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 07 - NORTE DE SANTANDER - CUCUTA - AUTOS - CAMBIO LLANTAS","@{name=batch7; type=tag; displayName=batch7}","PORTFLEX25M","angela.perez.z","62","22","1,311","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: NORTE DE SANTANDER; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 29 - VALLE DEL CAUCA - PALMIRA - HOGARES - PLOMERO","@{name=batch29; type=tag; displayName=batch29}","PORTFLEX25M","angela.perez.z","83","21","0,229","FAILED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando municipio: PALMIRA; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 35 - BOLIVAR - TURBACO - HOGARES - ORIENTACION DIGITAL","@{name=batch35; type=tag; displayName=batch35}","PORTFLEX25M","angela.perez.z","62","20","0,506","PASSED","",""
"Test Usuario 09 - BOLIVAR - CARTAGENA - AUTOS - DESPLAZAMIENTO POR HORAS","@{name=batch9; type=tag; displayName=batch9}","PORTFLEX25M","angela.perez.z","83","33","0,297","FAILED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando municipio: CARTAGENA; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 24 - VAUPÃ‰S - MITÃš - AUTOS - INSTALACION","@{name=batch24; type=tag; displayName=batch24}","PORTFLEX25M","angela.perez.z","62","19","0,596","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: VAUPÃ‰S; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 20 - ARAUCA - ARAUCA - AUTOS - PARQUEADERO","@{name=batch20; type=tag; displayName=batch20}","PORTFLEX25M","angela.perez.z","83","33","0,285","FAILED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando municipio: ARAUCA; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 06 - SANTANDER - BUCARAMANGA - AUTOS - GRUA","@{name=batch6; type=tag; displayName=batch6}","PORTFLEX25M","angela.perez.z","55","19","1,263","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: SANTANDER; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 36 - NARIÃ‘O - IPIALES - HOGARES - FACILITADOR VIRTUAL","@{name=batch36; type=tag; displayName=batch36}","PORTFLEX25M","angela.perez.z","67","23","0,836","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: NARIÃ‘O; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 04 - ATLANTICO - BARRANQUILLA - AUTOS - FRENOS","@{name=batch4; type=tag; displayName=batch4}","PORTFLEX25M","angela.perez.z","83","30","0,277","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: ATLANTICO; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 38 - QUINDIO - CALARCA - HOGARES - VIGILANTE SP","@{name=batch38; type=tag; displayName=batch38}","PORTFLEX25M","angela.perez.z","128","33","0,217","PASSED","",""
"Test Usuario 40 - TOLIMA - MELGAR - HOGARES - TRASLADO DE BIENES","@{name=batch40; type=tag; displayName=batch40}","PORTFLEX25M","angela.perez.z","128","48","0,255","PASSED","",""
"Test Usuario 43 - CORDOBA - LORICA - HOGARES - GASTOS DE MUDANZA","@{name=batch43; type=tag; displayName=batch43}","PORTFLEX25M","angela.perez.z","128","33","0,214","PASSED","",""
"Test Usuario 23 - GUAINIA - INIRIDA - AUTOS - CAMBIO DE DISPOSITIVO","@{name=batch23; type=tag; displayName=batch23}","PORTFLEX25M","angela.perez.z","83","21","0,297","FAILED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando municipio: INIRIDA; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","@{name=batch16; type=tag; displayName=batch16}","PORTFLEX25M","angela.perez.z","48","12","0,704","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: SUCRE; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 14 - TOLIMA - IBAGUE - AUTOS - CONDUCTOR FAMILIAR","@{name=batch14; type=tag; displayName=batch14}","PORTFLEX25M","angela.perez.z","62","18","0,516","PASSED","",""
"Test Usuario 01 - ANTIOQUIA - MEDELLIN - AUTOS - PASO DE GASOLINA","@{name=batch1; type=tag; displayName=batch1}","PORTFLEX25M","angela.perez.z","41","9","1,44","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: ANTIOQUIA; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 46 - ARAUCA - FORTUL - HOGARES - ASESORIA PSICOLOGICA","@{name=batch46; type=tag; displayName=batch46}","PORTFLEX25M","angela.perez.z","128","33","0,197","PASSED","",""
"Test Usuario 11 - CAUCA - POPAYAN - AUTOS - ABOGADO VIRTUAL","@{name=batch11; type=tag; displayName=batch11}","PORTFLEX25M","angela.perez.z","83","33","0,146","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: CAUCA; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 25 - AMAZONAS - LETICIA - AUTOS - MANTENIMIENTO PREVENTIVO","@{name=batch25; type=tag; displayName=batch25}","PORTFLEX25M","angela.perez.z","83","30","0,284","FAILED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando municipio: LETICIA; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 03 - VALLE DEL CAUCA - CALI - AUTOS - MECANICA BASICA","@{name=batch3; type=tag; displayName=batch3}","PORTFLEX25M","angela.perez.z","83","30","0,293","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: VALLE DEL CAUCA; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 32 - SANTANDER - FLORIDABLANCA - HOGARES - RETIRO DE ESCOMBROS","@{name=batch32; type=tag; displayName=batch32}","PORTFLEX25M","angela.perez.z","83","18","0,148","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: SANTANDER; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 26 - PUTUMAYO - MOCOA - HOGARES - ATENCION VIRTUAL HOGAR","@{name=batch26; type=tag; displayName=batch26}","PORTFLEX25M","angela.perez.z","62","22","1,045","PASSED","",""
"Test Usuario 17 - CORDOBA - MONTERIA - AUTOS - HOSPEDAJE VIAJERO","@{name=batch17; type=tag; displayName=batch17}","PORTFLEX25M","angela.perez.z","83","24","0,115","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: CORDOBA; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 47 - CASANARE - AGUAZUL - HOGARES - CONSEJERIA FAMILIAR VIRTUAL O TELEFONICO","@{name=batch47; type=tag; displayName=batch47}","PORTFLEX25M","angela.perez.z","128","33","0,221","PASSED","",""
"Test Usuario 39 - RISARALDA - DOSQUEBRADAS - HOGARES - HOSPEDAJE VIAJERO","@{name=batch39; type=tag; displayName=batch39}","PORTFLEX25M","angela.perez.z","83","15","0,237","FAILED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando municipio: DOSQUEBRADAS; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 13 - RISARALDA - PEREIRA - AUTOS - CONDUCTOR PROFESIONAL","@{name=batch13; type=tag; displayName=batch13}","PORTFLEX25M","angela.perez.z","50","16","1,055","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: RISARALDA; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 31 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - VIDRIERO","@{name=batch31; type=tag; displayName=batch31}","PORTFLEX25M","angela.perez.z","62","16","0,208","PASSED","",""
"Test Usuario 48 - VICHADA - LA PRIMAVERA - HOGARES - ORIENTACION JURIDICA TELEFONICA","@{name=batch48; type=tag; displayName=batch48}","PORTFLEX25M","angela.perez.z","83","12","0,09","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: AMAZONAS; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 33 - NORTE DE SANTANDER - OCAÃ‘A - HOGARES - DESAGUE POR INUNDACION","@{name=batch33; type=tag; displayName=batch33}","PORTFLEX25M","angela.perez.z","74","30","1,034","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: NORTE DE SANTANDER; stackTrace=System.Object[]; rootCause=}"
