"Test","Batch","Maquina","Usuario","Total Pasos","Pasos Lentos","Tiempo Promedio Paso (min)","Estado","Error Type","Error Message"
"Test Usuario 37 - CAUCA - SANTANDER DE QUILICHAO - HOGARES - VIGILANTE","@{name=batch37; type=tag; displayName=batch37}","PORTFLEX25M","angela.perez.z","83","21","0,096","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: CAUCA; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 02 - BOGOTA - BOGOTA - AUTOS - ABOGADO EN SITIO","@{name=batch2; type=tag; displayName=batch2}","PORTFLEX25M","angela.perez.z","41","9","1,201","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: BOGOTA; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 10 - NARIÃ‘O - PASTO - AUTOS - FACILITADOR VIRTUAL","@{name=batch10; type=tag; displayName=batch10}","PORTFLEX25M","angela.perez.z","44","12","1,02","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: NARIÃ‘O; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 41 - META - ACACIAS - HOGARES - SECADO DE ALFOMBRAS","@{name=batch41; type=tag; displayName=batch41}","PORTFLEX25M","angela.perez.z","128","48","0,231","PASSED","",""
"Test Usuario 42 - SUCRE - COLOSÃ“ - HOGARES - SERVICIOS EXEQUIAL","@{name=batch42; type=tag; displayName=batch42}","PORTFLEX25M","angela.perez.z","128","33","0,214","PASSED","",""
"Test Usuario 49 - GUAINIA - SAN FERNANDO DE ATABAPO - HOGARES - ORIENTACION MEDICA TELEFONICA","@{name=batch49; type=tag; displayName=batch49}","PORTFLEX25M","angela.perez.z","128","33","0,222","PASSED","",""
"Test Usuario 27 - ANTIOQUIA - ENVIGADO - HOGARES - ABOGADO EN SITIO","@{name=batch27; type=tag; displayName=batch27}","PORTFLEX25M","angela.perez.z","68","21","0,698","PASSED","Otros","@{errorType=java.lang.RuntimeException; message=Todos los intentos fallaron al hacer clic en 'Habilitar Formulario'; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 44 - CESAR - CODAZZI - HOGARES - SEGUIMIENTO A LA REPARACION","@{name=batch44; type=tag; displayName=batch44}","PORTFLEX25M","angela.perez.z","128","36","0,236","PASSED","",""
"Test Usuario 12 - QUINDIO - ARMENIA - AUTOS - ORIENTACION JURIDICA TELEFONICA AUTOS","@{name=batch12; type=tag; displayName=batch12}","PORTFLEX25M","angela.perez.z","62","21","0,762","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: QUINDIO; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 30 - ATLANTICO - SOLEDAD - HOGARES - CERRAJERO HO","@{name=batch30; type=tag; displayName=batch30}","PORTFLEX25M","angela.perez.z","83","18","0,229","FAILED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando municipio: SOLEDAD; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 34 - MAGDALENA - CIÃ‰NAGA - HOGARES - ASESORIA JURIDICA PRESENCIAL","@{name=batch34; type=tag; displayName=batch34}","PORTFLEX25M","angela.perez.z","68","26","0,773","FAILED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando municipio: CIÃ‰NAGA; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 50 - VAUPÃ‰S - CARURU - HOGARES - PLAN DE ACCION","@{name=batch50; type=tag; displayName=batch50}","PORTFLEX25M","angela.perez.z","128","33","0,205","PASSED","",""
"Test Usuario 19 - GUAJIRA - RIOHACHA - AUTOS - RESCATE PARQUEADERO","@{name=batch19; type=tag; displayName=batch19}","PORTFLEX25M","angela.perez.z","62","18","0,765","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: GUAJIRA; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 08 - MAGDALENA - SANTA MARTA - AUTOS - CERRAJERO AUTOS COMPLEJIDAD BAJA","@{name=batch8; type=tag; displayName=batch8}","PORTFLEX25M","angela.perez.z","62","21","1,002","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: MAGDALENA; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 45 - GUAJIRA - MAICAO - HOGARES - REVISION Y REDACCION DE CONTRATOS","@{name=batch45; type=tag; displayName=batch45}","PORTFLEX25M","angela.perez.z","128","33","0,217","PASSED","",""
"Test Usuario 15 - META - VILLAVICENCIO - AUTOS - ESTANCIA CONDUCTOR POR HURTO","@{name=batch15; type=tag; displayName=batch15}","PORTFLEX25M","angela.perez.z","62","20","0,745","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: META; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 22 - VICHADA - PUERTO CARREÃ‘O - AUTOS - CAMBIO DE BATERIA","@{name=batch22; type=tag; displayName=batch22}","PORTFLEX25M","angela.perez.z","48","14","0,868","FAILED","Otros","@{errorType=org.openqa.selenium.WebDriverException; message=The following error occurred: unknown error: net::ERR_CONNECTION_TIMED_OUT
  (Session info: chrome=147.0.7727.117)
Build info: version: '4.6.0', revision: '79f1c02ae20'
System info: os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.4'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Command: [5a1141af0b14df4d29099a858a248462, get {url=https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth}]
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 147.0.7727.117, chrome: {chromedriverVersion: 147.0.7727.117 (474cc805edd..., userDataDir: C:\Users\ANGELA~1.Z\AppData...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:57304}, goog:processID: 21816, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: WINDOWS, proxy: Proxy(), se:cdp: ws://localhost:57304/devtoo..., se:cdpVersion: 147.0.7727.117, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Session ID: 5a1141af0b14df4d29099a858a248462; stackTrace=System.Object[]}"
"Test Usuario 21 - CASANARE - YOPAL - AUTOS - DIAGNOSTICO VEHICULO","@{name=batch21; type=tag; displayName=batch21}","PORTFLEX25M","angela.perez.z","83","24","0,233","FAILED","Otros","@{errorType=java.lang.RuntimeException; message=Error seleccionando municipio: YOPAL; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 28 - BOGOTA - SOACHA - HOGARES - ELECTRICISTA","@{name=batch28; type=tag; displayName=batch28}","PORTFLEX25M","angela.perez.z","83","24","0,126","FAILED","UI","@{errorType=java.lang.RuntimeException; message=Error seleccionando combo: BOGOTA; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 05 - CUNDINAMARCA - SOACHA - AUTOS - AMBULANCIA","@{name=batch5; type=tag; displayName=batch5}","PORTFLEX25M","angela.perez.z","54","18","1,22","FAILED","Otros","@{errorType=org.openqa.selenium.TimeoutException; message=java.util.concurrent.TimeoutException
Build info: version: '4.6.0', revision: '79f1c02ae20'
System info: os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.4'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Command: [601cb59d3ee0944bc6244dc4aa0cce32, get {url=https://us-east-1s66ymlwwk.auth.us-east-1.amazoncognito.com/login?client_id=2hfo5293cfbh1h9fbe9m7g07dn&response_type=code&scope=email+openid+profile&redirect_uri=https%3A%2F%2Fasistenciaapp.kit.sura-konecta.com%2Fauth}]
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 147.0.7727.117, chrome: {chromedriverVersion: 147.0.7727.117 (474cc805edd..., userDataDir: C:\Users\ANGELA~1.Z\AppData...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:53542}, goog:processID: 19148, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: WINDOWS, proxy: Proxy(), se:cdp: ws://localhost:53542/devtoo..., se:cdpVersion: 147.0.7727.117, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Session ID: 601cb59d3ee0944bc6244dc4aa0cce32; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 09 - BOLIVAR - CARTAGENA LAGUNA CLUB - AUTOS - DESPLAZAMIENTO POR HORAS","batch9","COMEPORTKSF31","david.vasquez","56","20","0,281","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 18 - CESAR - VALLEDUPAR - AUTOS - TRASLADO VEHICULO DE REEMPLAZO","batch18","COMEPORTKSF31","david.vasquez","47","10","0,16","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 07 - NORTE DE SANTANDER - CUCUTA - AUTOS - CAMBIO LLANTAS","batch7","COMEPORTKSF31","david.vasquez","56","23","0,571","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 25 - AMAZONAS - ARARA - AUTOS - MANTENIMIENTO PREVENTIVO","batch25","COMEPORTKSF31","david.vasquez","56","21","0,279","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 35 - BOLIVAR - TURBACO - HOGARES - ORIENTACION DIGITAL","batch35","COMEPORTKSF31","david.vasquez","47","11","0,135","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 24 - VAUPÃ‰S - MITÃš - AUTOS - INSTALACION","batch24","COMEPORTKSF31","david.vasquez","27","9","0,078","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 06 - SANTANDER - BUCARAMANGA - AUTOS - GRUA","batch6","COMEPORTKSF31","david.vasquez","56","24","0,573","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 36 - NARIÃ‘O - IPIALES - HOGARES - FACILITADOR VIRTUAL","batch36","COMEPORTKSF31","david.vasquez","59","23","0,285","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 44 - ATLANTICO - AGUADA DE PABLO - HOGARES - SEGUIMIENTO A LA REPARACION","batch44","COMEPORTKSF31","david.vasquez","59","23","0,274","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 50 - NARIÃ‘O - IPIALES - HOGARES - PLAN DE ACCION","batch50","COMEPORTKSF31","david.vasquez","59","17","0,276","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 28 - ANTIOQUIA - ENVIGADO - HOGARES - ELECTRICISTA","batch28","COMEPORTKSF31","david.vasquez","56","21","0,235","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 45 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - REVISION Y REDACCION DE CONTRATOS","batch45","COMEPORTKSF31","david.vasquez","56","19","0,217","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 16 - SUCRE - SINCELEJO - AUTOS - DESPLAZAMIENTO VIAJERO","batch16","COMEPORTKSF31","david.vasquez","27","9","0,111","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 14 - TOLIMA - IBAGUE - AUTOS - CONDUCTOR FAMILIAR","batch14","COMEPORTKSF31","david.vasquez","56","19","0,29","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 01 - ANTIOQUIA - MEDELLIN - AUTOS - PASO DE GASOLINA","batch1","COMEPORTKSF31","david.vasquez","56","24","0,567","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 03 - VALLE DEL CAUCA - BAJO CALIMA - AUTOS - MECANICA BASICA","batch3","COMEPORTKSF31","david.vasquez","47","18","0,486","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 32 - SANTANORTE DE SANTANDER  - ARBOLEDAS - HOGARES - RETIRO DE ESCOMBROS","batch32","COMEPORTKSF31","david.vasquez","27","9","0,07","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 26 - PUTUMAYO - MOCOA - HOGARES - ATENCION VIRTUAL HOGAR","batch26","COMEPORTKSF31","david.vasquez","47","14","0,161","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 47 - NORTE DE SANTANDER - OCAÃ‘A - HOGARES - CONSEJERIA FAMILIAR VIRTUAL O TELEFONICO","batch47","COMEPORTKSF31","david.vasquez","56","18","0,23","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 13 - RISARALDA - PEREIRA - AUTOS - CONDUCTOR PROFESIONAL","batch13","COMEPORTKSF31","david.vasquez","56","19","0,28","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 31 - CUNDINAMARCA - ZIPAQUIRA - HOGARES - VIDRIERO","batch31","COMEPORTKSF31","david.vasquez","59","25","0,338","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 33 - NORTE DE SANTANDER - OCAÃ‘A - HOGARES - DESAGUE POR INUNDACION","batch33","COMEPORTKSF31","david.vasquez","56","19","0,241","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 42 - ANTIOQUIA - ENVIGADO - HOGARES - SERVICIOS EXEQUIAL","batch42","COMEPORTKSF31","david.vasquez","56","14","0,222","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 02 - BOGOTA - BOGOTA - AUTOS - ABOGADO EN SITIO","batch2","COMEPORTKSF31","david.vasquez","56","22","0,55","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 39 - AMAZONAS - ARARA - HOGARES - HOSPEDAJE VIAJERO","batch39","COMEPORTKSF31","david.vasquez","56","17","0,232","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 21 - CASANARE - CARIBAYONA - AUTOS - DIAGNOSTICO VEHICULO","batch21","COMEPORTKSF31","david.vasquez","56","19","0,303","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 10 - NARIÃ‘O - PASTO - AUTOS - FACILITADOR VIRTUAL","batch10","COMEPORTKSF31","david.vasquez","56","20","0,285","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 43 - VALLE DEL CAUCA - CACHIMBAL - HOGARES - GASTOS DE MUDANZA","batch43","COMEPORTKSF31","david.vasquez","47","12","0,117","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 27 - ANTIOQUIA - ENVIGADO - HOGARES - ABOGADO EN SITIO","batch27","COMEPORTKSF31","david.vasquez","56","21","0,297","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
"Test Usuario 41 - ANTIOQUIA - ENVIGADO - HOGARES - SECADO DE ALFOMBRAS","batch41","COMEPORTKSF31","david.vasquez","56","17","0,218","FAILED","Otros","@{errorType=net.thucydides.core.webdriver.DriverConfigurationError; message=Could not instantiate class org.openqa.selenium.chrome.ChromeDriver; stackTrace=System.Object[]; rootCause=}"
