"MÃ¡quina","Usuario","Total Tests","Tests Exitosos","Tests Fallidos","Tasa Ã‰xito %","Tiempo Promedio Paso (min)"
"AURORA","drwil","128","22","106","17,19","0,165"
"BRAYANG","braya","50","0","50","0","0,213"
"MAURICIO","mauro","50","0","50","0","0,213"
"COMEPORTKSF31","david.vasquez","50","0","50","0","0,282"
"PORTFLEX25M","angela.perez.z","77","30","47","38,96","0,577"
"COMEPORTKSF08","melanie.agualimpia","78","38","40","48,72","0,468"
"DESKTOP-9S1UJK8","User","50","12","38","24","0,222"
"COMEPORTKSF14","juan.vargas","77","43","34","55,84","0,316"
"COMEKSF040","emmanuel.tabares","50","17","33","34","0,225"
"COMEPORTKSF39","esneider.hernandez","50","20","30","40","0,245"
"COMEPORTKSF59","jair.bovea","50","23","27","46","0,237"
"ANBACK05M","arnulfo.gomez","50","25","25","50","0,234"
"JAVIER-SANCHEZ","sanch","52","27","25","51,92","0,256"
"COMEKSF028","yoarlys.carillo","50","25","25","50","0,393"
"SERGIO","Sergio","50","26","24","52","0,27"
"COMEPORTKSF30","giraldo.cuastumal","50","30","20","60","0,312"
"COMEKSF043","katian.vallejo","50","30","20","60","0,275"
"COMEKSF006","jose.perez.fl","50","31","19","62","0,298"
"ANKCRM38M","sergio.anaya","50","31","19","62","0,249"
"COMEPORTKSF32","jessica.diaz","50","32","18","64","0,334"
"COMEKSF014","fabian.silva","50","32","18","64","0,271"
"COMZADMPT020","jorge.caicedo","50","34","16","68","0,288"
"COMEPORTKSF15","santiago.hernandez.c","50","34","16","68","0,237"
"COMEPORTDLLO03","milena.sandoval","50","36","14","72","0,33"
"COMEPORTIVR02","jaime.urrego","50","40","10","80","0,507"
"PORTFLEX05M","yessica.pabon","50","41","9","82","0,24"
"COMEPORTKSF11","sergio.cabrera","50","43","7","86","0,282"
"COMEPORTBAN28","ana.suesca","50","45","5","90","0,304"
"COMEKSF001","mauricio.castano","50","47","3","94","0,269"
"ANKCRM46M","johan.lopez.q","50","48","2","96","0"
"COMEKSF032","joel.rodriguez","50","49","1","98","0,3"
"COMEPORTKSF19","maycol.sanchez","50","50","0","100","0"
"PORTFLEX27M","jonathan.valencia.f","50","50","0","100","0"
