"MÃ¡quina","Usuario","Total Tests","Tests Exitosos","Tests Fallidos","Tasa Ã‰xito %","Tiempo Promedio Paso (min)"
"COMEKSF006","jose.perez.fl","50","17","33","34","0,259"
"COMEKSF043","katian.vallejo","50","21","29","42","0,729"
"COMEPORTKSF14","juan.vargas","77","68","9","88,31","0,288"
"COMEPORTKSF30","giraldo.cuastumal","50","43","7","86","0,2"
"COMEPORTKSF56","david.villabona","50","46","4","92","0,698"
"COMEPORTKSF15","santiago.hernandez.c","50","47","3","94","0,288"
"COMZADMPT020","jorge.caicedo","50","47","3","94","0,282"
"COMEKSF014","fabian.silva","50","47","3","94","0,326"
"COMEPORTKSF42","hernando.hernandez","50","47","3","94","0,307"
"PORTFLEX23M","andres.puerta","50","47","3","94","0,29"
"PORTFLEX05M","yessica.pabon","50","48","2","96","0,396"
"COMEKSF032","joel.rodriguez","50","48","2","96","0,391"
"PORTFLEX27M","jonathan.valencia.f","50","49","1","98","0,339"
"COMEPORTKSF46","danilo.cortes","50","49","1","98","0,33"
"MAURICIO","mauro","50","49","1","98","0,245"
"PORTFLEX25M","angela.perez.z","50","49","1","98","0,302"
"COMEPORTKSF39","esneider.hernandez","50","49","1","98","0,244"
"COMZADMPT001","jairo.giraldo","50","49","1","98","0,262"
"COMEKSF001","mauricio.castano","50","49","1","98","0,245"
"COMEPORTKSF08","melanie.agualimpia","50","50","0","100","0,295"
"ANKCRM38M","sergio.anaya","49","49","0","100","0,257"
"COMEPORTKSF19","maycol.sanchez","50","50","0","100","0"
"COMEKSF031","Leider.Ardila","50","50","0","100","0"
