"Usuario","Total Tests","Tests Exitosos","Tests Fallidos","Tasa Exito %","Tiempo Promedio Paso (min)","Maquinas Usadas","Pasos Lentos"
"jose.perez.fl","50","17","33","34","0,259","1","494"
"katian.vallejo","50","21","29","42","0,729","1","668"
"juan.vargas","77","68","9","88,31","0,288","1","1431"
"giraldo.cuastumal","50","43","7","86","0,2","1","644"
"david.villabona","50","46","4","92","0,698","1","1246"
"santiago.hernandez.c","50","47","3","94","0,288","1","848"
"jorge.caicedo","50","47","3","94","0,282","1","813"
"fabian.silva","50","47","3","94","0,326","1","856"
"hernando.hernandez","50","47","3","94","0,307","1","912"
"andres.puerta","50","47","3","94","0,29","1","852"
"yessica.pabon","50","48","2","96","0,396","1","967"
"joel.rodriguez","50","48","2","96","0,391","1","919"
"jonathan.valencia.f","50","49","1","98","0,339","1","951"
"danilo.cortes","50","49","1","98","0,33","1","952"
"mauro","50","49","1","98","0,245","1","803"
"angela.perez.z","50","49","1","98","0,302","1","808"
"esneider.hernandez","50","49","1","98","0,244","1","772"
"jairo.giraldo","50","49","1","98","0,262","1","810"
"mauricio.castano","50","49","1","98","0,245","1","808"
"melanie.agualimpia","50","50","0","100","0,295","1","906"
"sergio.anaya","49","49","0","100","0,257","1","774"
"maycol.sanchez","50","50","0","100","0","1","0"
"Leider.Ardila","50","50","0","100","0","1","0"
